Role,Company,City,Grouped City,State,Month posted,No. of days ago,Level,Job type,Job function,Industry
Data Analyst - Python and SQL,UnitForce Technologies Consulting Pvt Ltd,Bengaluru Rural,Bengaluru,Karnataka,August,93,Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Analyst,Diverse Lynx,Pune,Pune,Maharashtra,September,62,Entry level,Contract,Information Technology,IT Services and IT Consulting
ZipLoan - Data Analyst - SPSS/Power BI,ZipLoan,Delhi,Delhi,Delhi,November,3,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst With Python & BI tools,CriticalRiver Inc.,Hyderabad,Hyderabad,Telangana,November,14,Associate,Full-time,Information Technology,IT Services and IT Consulting and Computer Software
Data Analyst - Tableau/Artificial Intelligence,Emojent,New Delhi,New Delhi,Delhi,November,28,Entry level,Full-time,Information Technology,Computer Software
Marketing Operations Data Analyst,Brandbase Capsule Pvt. Ltd.,Goregaon,Goregaon,Maharashtra,November,7,Full-time,Not mentioned,Not mentioned,Not mentioned
Data Operations Analyst,Franklin Templeton India,Hyderabad,Hyderabad,Telangana,November,14,Associate,Full-time,Management and Manufacturing,Financial Services and Investment Management
Data Analyst,MIRROR CONSULTANCY SERVICES,Pune,Pune,Maharashtra,September,62,Entry level,Full-time,Information Technology,"Marketing and Advertising, Staffing and Recruiting, and Financial Services"
Informatica Data Analyst-Consultant,Wipro,Hyderabad,Hyderabad,Telangana,November,7,Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
"Data Analytics+ Portfolio Analytics+ Bureau Analytics,Bank Roll",Hy Fly Consultancy,Mumbai,Mumbai,Maharashtra,November,6,Entry level,Full-time,Information Technology,"Staffing and Recruiting, Banking, and Financial Services"
Data Analyst For 5 Day Working USA MNC In Gurgaon Near Metro,Capital Placement Services Gurgaon .,Gurgaon,Gurgaon,Haryana,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Retail"
Senior Data Analyst,"Liventus, Inc.",Not mentioned,Not mentioned,Not mentioned,November,4,Mid-Senior level,Full-time,"Information Technology, Research, and Other",IT Services and IT Consulting
Business / Data Analyst,Raise Financial Services,Mumbai,Mumbai,Maharashtra,November,5,Executive,Full-time,"Research, Analyst, and Information Technology",Financial Services
Business/Data Systems Analyst 3-1,PayPal,Chennai,Chennai,Tamil Nadu,November,4,Not Applicable,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Data Engineer,Siemens Gamesa,Bengaluru,Bengaluru,Karnataka,November,5,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Renewable Energy Semiconductor Manufacturing, and Oil and Gas"
Data Engineer,BharatPe,New Delhi,New Delhi,Delhi,Not mentioned,0,Full-time,Not mentioned,Not mentioned,Not mentioned
Analyst - Data Quality,Novartis India,Hyderabad,Hyderabad,Telangana,November,7,Associate,Full-time,Information Technology,Pharmaceutical Manufacturing
Data Analysis Executive,Springer Nature Technology and Publishing Solutions,Madurai,Madurai,Tamil Nadu,October,31,Entry level,Full-time,Information Technology,"Marketing and Advertising, Internet Publishing, and Staffing and Recruiting"
Data Management Analyst,Condé Nast Data (India),Chennai,Chennai,Tamil Nadu,November,28,Mid-Senior level,Full-time,Information Technology,Publishing
Niyotail - Data Analyst - IIM/XLRI/MDI/NITIE/FMS,1K Kirana Bazaar,Gurugram,Gurugram,Haryana,November,28,Entry level,Full-time,Information Technology,Retail
"Job Opening For Data Mgmt - Analyst with an Investment Bank, Blore",CBSi,Bengaluru,Bengaluru,Karnataka,November,4,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Staffing and Recruiting"
